Roll Number,Official School Name,Coeducational/Singlesex,Ethos,Language,County,School Planning Area,School Type,Patron,Households associated with the current pupils,Validated responses from parents with children in primary school,Response rate from parents with children in primary school,Overall margin of error associated with the current pupils,Preference for singlesex from parents with children in primary school,Preference for coeducational from parents with children in primary school,Preference for multidenominational from parents with children in primary school,Preference for denominational from parents with children in primary school,Preference for Irish from parents with children in primary school,Preference for English from parents with children in primary school,Preference for singlesex from parents with children in primary school (%),Preference for coeducational from parents with children in primary school (%),Preference for multidenominational from parents with children in primary school (%),Preference for denominational from parents with children in primary school (%),Preference for Irish from parents with children in primary school (%),Preference for English from parents with children in primary school (%),Validated responses from parents of children not yet in school,Preference for singlesex from parents of children not yet in school,Preference for coeducational from parents of children not yet in school,Preference for multidenominational from parents of children not yet in school,Preference for denominational from parents of children not yet in school,Preference for Irish from parents of children not yet in school,Preference for English from parents of children not yet in school,Preference for singlesex from parents of children not yet in school (%),Preference for coeducational from parents of children not yet in school (%),Preference for multidenominational from parents of children not yet in school (%),Preference for denominational from parents of children not yet in school (%),Preference for Irish from parents of children not yet in school (%),Preference for English from parents of children not yet in school (%)
20078C,Scoil Realt na Mara,Co educational,Denominational,English,Clare,Kilkee,Mainstream,Bishop of Killaloe,76,28,37%,15%,2,26,9,19,3,25,7%,93%,32%,68%,11%,89%,,,,,,,,,,,,,
15370R,Killaloe Boys N S,Single sex,Denominational,English,Clare,Killaloe,Mainstream,Bishop of Killaloe,86,38,44%,13%,5,33,13,25,11,27,13%,87%,34%,66%,29%,71%,,,,,,,,,,,,,
18467B,S N Baile an Droichid,Co educational,Denominational,English,Clare,Killaloe,Mainstream,Bishop of Killaloe,68,36,53%,13%,0,36,10,26,10,26,0%,100%,28%,72%,28%,72%,,,,,,,,,,,,,
18624O,Mercy Convent Killaloe,Single sex,Denominational,English,Clare,Killaloe,Mainstream,Bishop of Killaloe,82,26,32%,15%,5,21,12,14,5,21,19%,81%,46%,54%,19%,81%,,,,,,,,,,,,,
13826B,Kilmihil N.s.,Co educational,Denominational,English,Clare,Kilmihill,Mainstream,Bishop of Killaloe,64,32,50%,14%,0,32,12,20,4,28,0%,100%,38%,62%,12%,88%,,,,,,,,,,,,,
20404M,Coore National School,Co educational,Denominational,English,Clare,Kilmihill,Mainstream,Bishop of Killaloe,18,7,39%,26%,0,7,2,5,1,6,0%,100%,29%,71%,14%,86%,,,,,,,,,,,,,
20434V,Scoil Mhichil,Co educational,Denominational,English,Clare,Kilmihill,Mainstream,Bishop of Killaloe,33,24,73%,16%,0,24,7,17,4,20,0%,100%,29%,71%,17%,83%,,,,,,,,,,,,,
20447H,Kilmurry Mcmahon National School,Co educational,Denominational,English,Clare,Kilmihill,Mainstream,Bishop of Killaloe,30,13,43%,21%,0,13,4,9,1,12,0%,100%,31%,69%,8%,92%,,,,,,,,,,,,,
20570G,St. Josephs National School Cree,Co educational,Denominational,English,Clare,Kilmihill,Mainstream,Bishop of Killaloe,29,17,59%,19%,0,17,5,12,2,15,0%,100%,29%,71%,12%,88%,,,,,,,,,,,,,
13738E,Burrane N S,Co educational,Denominational,English,Clare,Kilrush,Mainstream,Bishop of Killaloe,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16930L,Scoil an Sraith S N,Co educational,Denominational,English,Clare,Kilrush,Mainstream,Bishop of Killaloe,8,5,63%,30%,0,5,2,3,1,4,0%,100%,40%,60%,20%,80%,,,,,,,,,,,,,
17816S,Cooraclare B N S,Co educational,Denominational,English,Clare,Kilrush,Mainstream,Bishop of Killaloe,45,17,38%,19%,0,17,7,10,4,13,0%,100%,41%,59%,24%,76%,,,,,,,,,,,,,
18327I,S N Cnoc Doire,Co educational,Denominational,English,Clare,Kilrush,Mainstream,Bishop of Killaloe,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18565B,S N Ma Sheasta,Co educational,Denominational,English,Clare,Kilrush,Mainstream,Bishop of Killaloe,29,13,45%,21%,0,13,3,10,1,12,0%,100%,23%,77%,8%,92%,,,,,,,,,,,,,
19999Q,Gaelscoil Ui Choimin,Co educational,Denominational,Irish,Clare,Kilrush,Mainstream,An Foras Pátrúnachta,37,13,35%,21%,0,13,6,7,12,1,0%,100%,46%,54%,92%,8%,,,,,,,,,,,,,
