Roll Number,Official School Name,Coeducational/Singlesex,Ethos,Language,County,School Planning Area,School Type,Patron,Households associated with the current pupils,Validated responses from parents with children in primary school,Response rate from parents with children in primary school,Overall margin of error associated with the current pupils,Preference for singlesex from parents with children in primary school,Preference for coeducational from parents with children in primary school,Preference for multidenominational from parents with children in primary school,Preference for denominational from parents with children in primary school,Preference for Irish from parents with children in primary school,Preference for English from parents with children in primary school,Preference for singlesex from parents with children in primary school (%),Preference for coeducational from parents with children in primary school (%),Preference for multidenominational from parents with children in primary school (%),Preference for denominational from parents with children in primary school (%),Preference for Irish from parents with children in primary school (%),Preference for English from parents with children in primary school (%),Validated responses from parents of children not yet in school,Preference for singlesex from parents of children not yet in school,Preference for coeducational from parents of children not yet in school,Preference for multidenominational from parents of children not yet in school,Preference for denominational from parents of children not yet in school,Preference for Irish from parents of children not yet in school,Preference for English from parents of children not yet in school,Preference for singlesex from parents of children not yet in school (%),Preference for coeducational from parents of children not yet in school (%),Preference for multidenominational from parents of children not yet in school (%),Preference for denominational from parents of children not yet in school (%),Preference for Irish from parents of children not yet in school (%),Preference for English from parents of children not yet in school (%)
20280U,Newtown Ns,Co educational,Denominational,English,Galway,Tuam,Mainstream,Archbishop of Tuam,119,73,61%,10%,3,70,34,39,16,57,4%,96%,47%,53%,22%,78%,,,,,,,,,,,,,
20330J,St. Oliver's Child Education and Development Centre,Co educational,Multi denominational,English,Galway,Tuam,Special School,Ability West,38,11,29%,22%,0,11,4,7,2,9,0%,100%,36%,64%,18%,82%,,,,,,,,,,,,,
20456I,Tuam Educate Together National School,Co educational,Multi denominational,English,Galway,Tuam,Mainstream,Educate Together,154,64,42%,10%,4,60,52,12,7,57,6%,94%,81%,19%,11%,89%,39,1,38,24,15,3,36,3%,97%,62%,38%,8%,92%
20547L,Trinity Primary School,Co educational,Denominational,English,Galway,Tuam,Mainstream,Archbishop of Tuam,508,235,46%,5%,19,216,72,163,19,216,8%,92%,31%,69%,8%,92%,117,12,105,28,89,18,99,10%,90%,24%,76%,15%,85%
15958F,St. Josephs N.s.,Co educational,Denominational,English,Galway,Woodford,Mainstream,Bishop of Clonfert,39,13,33%,21%,0,13,6,7,2,11,0%,100%,46%,54%,15%,85%,,,,,,,,,,,,,
16596C,St Feichins N School,Co educational,Denominational,English,Galway,Woodford,Mainstream,Bishop of Clonfert,20,8,40%,25%,0,8,2,6,0,8,0%,100%,25%,75%,0%,100%,,,,,,,,,,,,,
17242S,S N Pairc na Slinne,Co educational,Denominational,English,Galway,Woodford,Mainstream,Bishop of Clonfert,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17273G,S N Baile na Cille,Co educational,Denominational,English,Galway,Woodford,Mainstream,Bishop of Clonfert,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17331R,S N an Droma,Co educational,Denominational,English,Galway,Woodford,Mainstream,Bishop of Clonfert,11,8,73%,25%,0,8,3,5,1,7,0%,100%,38%,62%,12%,88%,,,,,,,,,,,,,
17547R,S N Breandan Naofa,Co educational,Denominational,English,Galway,Woodford,Mainstream,Bishop of Clonfert,10,7,70%,26%,0,7,1,6,1,6,0%,100%,14%,86%,14%,86%,,,,,,,,,,,,,
09708T,Knocknagoshel National School,Co educational,Denominational,English,Kerry,Abbeyfeale,Mainstream,Bishop of Kerry,29,11,38%,22%,0,11,4,7,4,7,0%,100%,36%,64%,36%,64%,,,,,,,,,,,,,
14002G,Knockaclarig Mxd N S,Co educational,Denominational,English,Kerry,Abbeyfeale,Mainstream,Bishop of Kerry,29,13,45%,21%,0,13,3,10,1,12,0%,100%,23%,77%,8%,92%,,,,,,,,,,,,,
18283O,Scoil Mhuire,Co educational,Denominational,English,Kerry,Abbeyfeale,Mainstream,Bishop of Kerry,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10501E,Scoil Easa Dhuibhe,Co educational,Denominational,English,Kerry,Ballybunion,Mainstream,Bishop of Kerry,37,18,49%,18%,0,18,2,16,3,15,0%,100%,11%,89%,17%,83%,,,,,,,,,,,,,
18214S,S.n. Cill Conla,Co educational,Denominational,English,Kerry,Ballybunion,Mainstream,Bishop of Kerry,22,8,36%,25%,0,8,3,5,3,5,0%,100%,38%,62%,38%,62%,,,,,,,,,,,,,
19461R,Eiltin Naofa,Co educational,Denominational,English,Kerry,Ballybunion,Mainstream,Bishop of Kerry,53,18,34%,18%,1,17,4,14,2,16,6%,94%,22%,78%,11%,89%,,,,,,,,,,,,,
20196I,Scoil Íosagáin,Co educational,Denominational,English,Kerry,Ballybunion,Mainstream,Bishop of Kerry,144,61,42%,10%,0,61,30,31,12,49,0%,100%,49%,51%,20%,80%,,,,,,,,,,,,,
08147A,Scoil an Ghleanna Pobal Scoil Náisi,Co educational,Multi denominational,Irish,Kerry,Caherciveen_Waterville,Mainstream,Kerry ETB,21,12,57%,21%,1,11,10,2,11,1,8%,92%,83%,17%,92%,8%,,,,,,,,,,,,,
08687J,S N Muire Gan Smal,Co educational,Denominational,English,Kerry,Caherciveen_Waterville,Mainstream,Bishop of Kerry,27,7,26%,26%,0,7,4,3,0,7,0%,100%,57%,43%,0%,100%,,,,,,,,,,,,,
09878V,Aghatubrid N S,Co educational,Denominational,English,Kerry,Caherciveen_Waterville,Mainstream,Bishop of Kerry,28,20,71%,17%,0,20,3,17,2,18,0%,100%,15%,85%,10%,90%,,,,,,,,,,,,,
10239R,Crochan Naofa N S,Co educational,Denominational,English,Kerry,Caherciveen_Waterville,Mainstream,Bishop of Kerry,21,9,43%,24%,0,9,7,2,3,6,0%,100%,78%,22%,33%,67%,,,,,,,,,,,,,
11419B,Scoil Bhreanainn,Co educational,Denominational,English,Kerry,Caherciveen_Waterville,Mainstream,Bishop of Kerry,56,20,36%,17%,0,20,6,14,2,18,0%,100%,30%,70%,10%,90%,,,,,,,,,,,,,
12701W,Scoil an Fhaill Mor,Co educational,Denominational,English,Kerry,Caherciveen_Waterville,Mainstream,Bishop of Kerry,42,22,52%,17%,0,22,6,16,5,17,0%,100%,27%,73%,23%,77%,,,,,,,,,,,,,
16014A,St Finians,Co educational,Denominational,English,Kerry,Caherciveen_Waterville,Mainstream,Bishop of Kerry,79,43,54%,12%,2,41,17,26,6,37,5%,95%,40%,60%,14%,86%,,,,,,,,,,,,,
19304B,S N Cillin Liath,Co educational,Denominational,Irish,Kerry,Caherciveen_Waterville,Mainstream,Bishop of Kerry,24,7,29%,26%,0,7,2,5,5,2,0%,100%,29%,71%,71%,29%,,,,,,,,,,,,,
19436S,S N Naomh Mhichil,Co educational,Denominational,Irish,Kerry,Caherciveen_Waterville,Mainstream,Bishop of Kerry,27,9,33%,24%,0,9,2,7,6,3,0%,100%,22%,78%,67%,33%,,,,,,,,,,,,,
19483E,S N Dar Earca,Co educational,Denominational,English,Kerry,Caherciveen_Waterville,Mainstream,Bishop of Kerry,34,11,32%,22%,0,11,3,8,4,7,0%,100%,27%,73%,36%,64%,,,,,,,,,,,,,
20112W,Caherciveen N S,Co educational,Denominational,English,Kerry,Caherciveen_Waterville,Mainstream,Bishop of Kerry,76,28,37%,15%,1,27,15,13,3,25,4%,96%,54%,46%,11%,89%,,,,,,,,,,,,,
11746Q,Castlegregory Mxd N S,Co educational,Denominational,English,Kerry,Castlegregory,Mainstream,Bishop of Kerry,94,29,31%,15%,0,29,13,16,14,15,0%,100%,45%,55%,48%,52%,,,,,,,,,,,,,
14767Q,Aghacasla N S,Co educational,Denominational,English,Kerry,Castlegregory,Mainstream,Bishop of Kerry,69,24,35%,16%,0,24,11,13,11,13,0%,100%,46%,54%,46%,54%,,,,,,,,,,,,,
14987H,S N an Chlochan,Co educational,Denominational,Irish,Kerry,Castlegregory,Mainstream,Bishop of Kerry,28,15,54%,20%,1,14,6,9,14,1,7%,93%,40%,60%,93%,7%,,,,,,,,,,,,,
02418V,Knockaderry Farranfore National School,Co educational,Denominational,English,Kerry,Castleisland,Mainstream,Bishop of Kerry,37,12,32%,21%,0,12,4,8,1,11,0%,100%,33%,67%,8%,92%,,,,,,,,,,,,,
09938N,Curranes N S,Co educational,Denominational,English,Kerry,Castleisland,Mainstream,Bishop of Kerry,61,27,44%,15%,0,27,6,21,1,26,0%,100%,22%,78%,4%,96%,,,,,,,,,,,,,
10326M,Scoil Nuachabhail,Co educational,Denominational,English,Kerry,Castleisland,Mainstream,Bishop of Kerry,45,21,47%,17%,0,21,5,16,6,15,0%,100%,24%,76%,29%,71%,,,,,,,,,,,,,
10394G,Scoil Mhuire B&C,Co educational,Denominational,English,Kerry,Castleisland,Mainstream,Bishop of Kerry,46,25,54%,16%,0,25,7,18,1,24,0%,100%,28%,72%,4%,96%,,,,,,,,,,,,,
12354E,Clogher Mxd N S,Co educational,Denominational,English,Kerry,Castleisland,Mainstream,Bishop of Kerry,27,10,37%,23%,0,10,6,4,1,9,0%,100%,60%,40%,10%,90%,,,,,,,,,,,,,
14366V,Loughfouder N S,Co educational,Denominational,English,Kerry,Castleisland,Mainstream,Bishop of Kerry,15,8,53%,25%,0,8,2,6,1,7,0%,100%,25%,75%,12%,88%,,,,,,,,,,,,,
14952L,Muire Gan Smal,Single sex,Denominational,English,Kerry,Castleisland,Mainstream,Bishop of Kerry,91,27,30%,15%,0,27,16,11,3,24,0%,100%,59%,41%,11%,89%,,,,,,,,,,,,,
15945T,Firies Mxd N S,Co educational,Denominational,English,Kerry,Castleisland,Mainstream,Bishop of Kerry,173,64,37%,10%,0,64,17,47,12,52,0%,100%,27%,73%,19%,81%,,,,,,,,,,,,,
18325E,Naomh Charthaigh,Single sex,Denominational,English,Kerry,Castleisland,Mainstream,Bishop of Kerry,47,14,30%,20%,1,13,6,8,0,14,7%,93%,43%,57%,0%,100%,,,,,,,,,,,,,
19745I,Scartaglin New Central School,Co educational,Denominational,English,Kerry,Castleisland,Mainstream,Bishop of Kerry,54,31,57%,14%,0,31,5,26,3,28,0%,100%,16%,84%,10%,90%,,,,,,,,,,,,,
19917L,Gaelscoil Naomh Aogain,Co educational,Denominational,Irish,Kerry,Castleisland,Mainstream,Bishop of Kerry,108,30,28%,14%,1,29,15,15,26,4,3%,97%,50%,50%,87%,13%,,,,,,,,,,,,,
20147S,Scoil Mhuire agus N.treasa,Co educational,Denominational,English,Kerry,Castleisland,Mainstream,Bishop of Kerry,83,30,36%,14%,0,30,4,26,0,30,0%,100%,13%,87%,0%,100%,,,,,,,,,,,,,
08530W,Lauragh National School,Co educational,Denominational,English,Kerry,Castletownbere,Mainstream,Bishop of Kerry,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03132I,S N Sliabh a Mhadra,Co educational,Denominational,English,Kerry,Causeway,Mainstream,Bishop of Kerry,75,32,43%,14%,0,32,15,17,3,29,0%,100%,47%,53%,9%,91%,,,,,,,,,,,,,
09841V,S N Bhaile an Chrosaigh,Co educational,Denominational,English,Kerry,Causeway,Mainstream,Bishop of Kerry,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10957B,S N Mhuire De Lourdes,Co educational,Denominational,English,Kerry,Causeway,Mainstream,Bishop of Kerry,74,40,54%,13%,0,40,10,30,3,37,0%,100%,25%,75%,7%,92%,,,,,,,,,,,,,
15033W,S N Treasa Naofa Mxd,Co educational,Denominational,English,Kerry,Causeway,Mainstream,Bishop of Kerry,69,35,51%,13%,1,34,12,23,2,33,3%,97%,34%,66%,6%,94%,,,,,,,,,,,,,
17358O,S N Naomh Eirc,Co educational,Denominational,English,Kerry,Causeway,Mainstream,Bishop of Kerry,37,15,41%,20%,2,13,4,11,5,10,13%,87%,27%,73%,33%,67%,,,,,,,,,,,,,
17915U,Freastogail Mhuire Mxd,Co educational,Denominational,English,Kerry,Causeway,Mainstream,Bishop of Kerry,23,6,26%,28%,1,5,1,5,2,4,17%,83%,17%,83%,33%,67%,,,,,,,,,,,,,
18184M,S N Cill Lúraigh,Co educational,Denominational,English,Kerry,Causeway,Mainstream,Bishop of Kerry,68,29,43%,15%,0,29,10,19,4,25,0%,100%,34%,66%,14%,86%,,,,,,,,,,,,,
18573A,Scoil Chriost Ri,Co educational,Denominational,English,Kerry,Causeway,Mainstream,Bishop of Kerry,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18590A,Scoil Naomh Erc,Co educational,Denominational,English,Kerry,Causeway,Mainstream,Bishop of Kerry,94,32,34%,14%,1,31,5,27,9,23,3%,97%,16%,84%,28%,72%,,,,,,,,,,,,,
18856M,Scoil Naomh Iosef,Co educational,Denominational,English,Kerry,Causeway,Mainstream,Bishop of Kerry,13,8,62%,25%,1,7,1,7,2,6,12%,88%,12%,88%,25%,75%,,,,,,,,,,,,,
20478S,Ballyduff National School,Co educational,Denominational,English,Kerry,Causeway,Mainstream,Bishop of Kerry,67,24,36%,16%,0,24,8,16,3,21,0%,100%,33%,67%,12%,88%,,,,,,,,,,,,,
00538V,Clochar Daingean,Single sex,Denominational,Irish,Kerry,Dingle,Mainstream,Bishop of Kerry,104,46,44%,12%,3,43,23,23,32,14,7%,93%,50%,50%,70%,30%,,,,,,,,,,,,,
06227L,Sn Mhaolcheadair,Co educational,Denominational,Irish,Kerry,Dingle,Mainstream,Bishop of Kerry,19,6,32%,28%,0,6,2,4,5,1,0%,100%,33%,67%,83%,17%,,,,,,,,,,,,,
10755M,Scoil an Fhirtearaigh,Co educational,Denominational,Irish,Kerry,Dingle,Mainstream,Bishop of Kerry,27,11,41%,22%,0,11,6,5,11,0,0%,100%,55%,45%,100%,0%,,,,,,,,,,,,,
11248A,Sn an Ghleanna,Co educational,Denominational,Irish,Kerry,Dingle,Mainstream,Bishop of Kerry,19,7,37%,26%,0,7,1,6,7,0,0%,100%,14%,86%,100%,0%,,,,,,,,,,,,,
15592M,Sn Ceann Tra Meascaithe,Co educational,Denominational,Irish,Kerry,Dingle,Mainstream,Bishop of Kerry,43,16,37%,19%,0,16,11,5,15,1,0%,100%,69%,31%,94%,6%,,,,,,,,,,,,,
16217O,An Bhreac Chluain B,Co educational,Denominational,English,Kerry,Dingle,Mainstream,Bishop of Kerry,29,11,38%,22%,0,11,5,6,6,5,0%,100%,45%,55%,55%,45%,,,,,,,,,,,,,
16281A,S N Naomh Gobnait,Co educational,Denominational,Irish,Kerry,Dingle,Mainstream,Bishop of Kerry,12,7,58%,26%,0,7,5,2,7,0,0%,100%,71%,29%,100%,0%,,,,,,,,,,,,,
16456J,Scoil Naisiunta Eirc,Co educational,Denominational,Irish,Kerry,Dingle,Mainstream,Bishop of Kerry,38,15,40%,20%,0,15,7,8,15,0,0%,100%,47%,53%,100%,0%,,,,,,,,,,,,,
16703A,Scoil na mBraithre,Single sex,Denominational,Irish,Kerry,Dingle,Mainstream,Bishop of Kerry,57,26,46%,15%,4,22,16,10,20,6,15%,85%,62%,38%,77%,23%,,,,,,,,,,,,,
16779K,Scoil Caitlin Naofa,Co educational,Denominational,Irish,Kerry,Dingle,Mainstream,Bishop of Kerry,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19986H,S N Eoin Baiste,Co educational,Denominational,Irish,Kerry,Dingle,Mainstream,Bishop of Kerry,61,31,51%,14%,1,30,19,12,26,5,3%,97%,61%,39%,84%,16%,,,,,,,,,,,,,
01396J,Tulloha National School,Co educational,Denominational,English,Kerry,Kenmare,Mainstream,Bishop of Kerry,13,9,69%,24%,0,9,4,5,3,6,0%,100%,44%,56%,33%,67%,,,,,,,,,,,,,
05348S,Tahilla Community National School,Co educational,Multi denominational,English,Kerry,Kenmare,Mainstream,Kerry ETB,21,6,29%,28%,0,6,6,0,2,4,0%,100%,100%,0%,33%,67%,,,,,,,,,,,,,
08251S,Scoil Naomh Micheal,Co educational,Denominational,English,Kerry,Kenmare,Mainstream,Bishop of Kerry,40,6,15%,28%,0,6,2,4,0,6,0%,100%,33%,67%,0%,100%,,,,,,,,,,,,,
18759O,Cahir National School,Co educational,Denominational,English,Kerry,Kenmare,Mainstream,Bishop of Kerry,15,7,47%,26%,0,7,3,4,1,6,0%,100%,43%,57%,14%,86%,,,,,,,,,,,,,
19448C,S N Réalt na Mara,Co educational,Denominational,English,Kerry,Kenmare,Mainstream,Bishop of Kerry,56,26,46%,15%,0,26,13,13,9,17,0%,100%,50%,50%,35%,65%,,,,,,,,,,,,,
19458F,Kilgarvan Central Schl,Co educational,Denominational,English,Kerry,Kenmare,Mainstream,Bishop of Kerry,71,37,52%,13%,0,37,11,26,5,32,0%,100%,30%,70%,14%,86%,,,,,,,,,,,,,
20197K,St Johns Ns,Co educational,Denominational,English,Kerry,Kenmare,Mainstream,Bishop of Kerry,241,93,39%,8%,1,92,36,57,11,82,1%,99%,39%,61%,12%,88%,42,0,42,17,25,8,34,0%,100%,40%,60%,19%,81%
05970M,Scoil Barr Dubh,Co educational,Denominational,English,Kerry,Killarney,Mainstream,Bishop of Kerry,70,27,39%,15%,0,27,9,18,5,22,0%,100%,33%,67%,19%,81%,,,,,,,,,,,,,
08791E,Lissivigeen Mxd N S,Co educational,Denominational,English,Kerry,Killarney,Mainstream,Bishop of Kerry,166,62,37%,10%,0,62,20,42,11,51,0%,100%,32%,68%,18%,82%,31,0,31,8,23,8,23,0%,100%,26%,74%,26%,74%
09302O,Glenflesk N S,Co educational,Denominational,English,Kerry,Killarney,Mainstream,Bishop of Kerry,23,14,61%,20%,0,14,6,8,4,10,0%,100%,43%,57%,29%,71%,,,,,,,,,,,,,
09304S,Raheen National School,Co educational,Denominational,English,Kerry,Killarney,Mainstream,Bishop of Kerry,26,16,62%,19%,0,16,3,13,3,13,0%,100%,19%,81%,19%,81%,,,,,,,,,,,,,
10014Q,Coolick National School,Co educational,Denominational,English,Kerry,Killarney,Mainstream,Bishop of Kerry,59,31,53%,14%,0,31,10,21,8,23,0%,100%,32%,68%,26%,74%,,,,,,,,,,,,,
10049M,Loughguitane N S,Co educational,Denominational,English,Kerry,Killarney,Mainstream,Bishop of Kerry,58,31,53%,14%,0,31,5,26,7,24,0%,100%,16%,84%,23%,77%,,,,,,,,,,,,,
10050U,Scoil Bhríde,Co educational,Denominational,English,Kerry,Killarney,Mainstream,Bishop of Kerry,83,28,34%,15%,0,28,12,16,2,26,0%,100%,43%,57%,7%,93%,,,,,,,,,,,,,
11363A,Scoil Atha na mBlath,Co educational,Denominational,English,Kerry,Killarney,Mainstream,Bishop of Kerry,37,22,60%,17%,0,22,6,16,1,21,0%,100%,27%,73%,5%,95%,,,,,,,,,,,,,
11405N,Faha National School,Co educational,Denominational,English,Kerry,Killarney,Mainstream,Bishop of Kerry,144,51,35%,11%,0,51,20,31,11,40,0%,100%,39%,61%,22%,78%,33,0,33,14,19,10,23,0%,100%,42%,58%,30%,70%
13150Q,Knockanes Mxd N S,Co educational,Denominational,English,Kerry,Killarney,Mainstream,Bishop of Kerry,27,15,56%,20%,0,15,5,10,0,15,0%,100%,33%,67%,0%,100%,,,,,,,,,,,,,
15644F,Tiernaboul N S,Co educational,Denominational,English,Kerry,Killarney,Mainstream,Bishop of Kerry,38,18,47%,18%,0,18,5,13,3,15,0%,100%,28%,72%,17%,83%,,,,,,,,,,,,,
17012B,S N an Fhossa,Co educational,Denominational,English,Kerry,Killarney,Mainstream,Bishop of Kerry,166,72,43%,10%,0,72,32,40,14,58,0%,100%,44%,56%,19%,81%,,,,,,,,,,,,,
17231N,S N Cill Cuimin,Co educational,Denominational,English,Kerry,Killarney,Mainstream,Bishop of Kerry,79,32,41%,14%,0,32,5,27,4,28,0%,100%,16%,84%,12%,88%,,,,,,,,,,,,,
17365L,Two Mile Community National School,Co educational,Multi denominational,English,Kerry,Killarney,Mainstream,Kerry ETB,32,8,25%,25%,0,8,6,2,0,8,0%,100%,75%,25%,0%,100%,,,,,,,,,,,,,
17710C,S N an Chuilleanaig,Co educational,Denominational,English,Kerry,Killarney,Mainstream,Bishop of Kerry,87,29,33%,15%,0,29,12,17,7,22,0%,100%,41%,59%,24%,76%,,,,,,,,,,,,,
18049G,Scoil Mhuire na Mainistreach,Single sex,Denominational,English,Kerry,Killarney,Mainstream,Bishop of Kerry,140,49,35%,11%,9,40,16,33,1,48,18%,82%,33%,67%,2%,98%,,,,,,,,,,,,,
19487M,Holy Cross Primary School,Single sex,Denominational,English,Kerry,Killarney,Mainstream,Bishop of Kerry,272,86,32%,9%,17,69,32,54,5,81,20%,80%,37%,63%,6%,94%,52,8,44,22,30,2,50,15%,85%,42%,58%,4%,96%
19512I,St Olivers Ns,Co educational,Denominational,English,Kerry,Killarney,Mainstream,Bishop of Kerry,417,103,25%,8%,1,102,46,57,14,89,1%,99%,45%,55%,14%,86%,33,1,32,16,17,4,29,3%,97%,48%,52%,12%,88%
19941I,Gaelscoil Faithleann,Co educational,Denominational,Irish,Kerry,Killarney,Mainstream,Bishop of Kerry,119,60,50%,10%,0,60,21,39,55,5,0%,100%,35%,65%,92%,8%,46,1,45,14,32,45,1,2%,98%,30%,70%,98%,2%
01583I,Glounaguillagh N S,Co educational,Denominational,English,Kerry,Killorglin_Milltown,Mainstream,Bishop of Kerry,77,38,49%,13%,1,37,18,20,12,26,3%,97%,47%,53%,32%,68%,,,,,,,,,,,,,
07841L,Kilgobnet N S,Co educational,Denominational,English,Kerry,Killorglin_Milltown,Mainstream,Bishop of Kerry,62,23,37%,16%,0,23,4,19,9,14,0%,100%,17%,83%,39%,61%,,,,,,,,,,,,,
07990F,Scoil Naomh Carthach,Co educational,Denominational,English,Kerry,Killorglin_Milltown,Mainstream,Bishop of Kerry,27,12,44%,21%,0,12,4,8,2,10,0%,100%,33%,67%,17%,83%,,,,,,,,,,,,,
09209B,Castledrum N S,Co educational,Denominational,English,Kerry,Killorglin_Milltown,Mainstream,Bishop of Kerry,48,19,40%,18%,0,19,4,15,7,12,0%,100%,21%,79%,37%,63%,,,,,,,,,,,,,
12820H,Scoil Realt na Mara,Co educational,Denominational,English,Kerry,Killorglin_Milltown,Mainstream,Bishop of Kerry,75,38,51%,13%,1,37,12,26,6,32,3%,97%,32%,68%,16%,84%,,,,,,,,,,,,,
12832O,Scoil Mhuire B,Co educational,Denominational,English,Kerry,Killorglin_Milltown,Mainstream,Bishop of Kerry,256,92,36%,9%,1,91,37,55,14,78,1%,99%,40%,60%,15%,85%,,,,,,,,,,,,,
12875J,Gaelscoil Naomh Séamas,Co educational,Denominational,Irish,Kerry,Killorglin_Milltown,Mainstream,Bishop of Kerry,22,13,59%,21%,0,13,3,10,12,1,0%,100%,23%,77%,92%,8%,,,,,,,,,,,,,
15978L,Curraheen Mxd N S,Co educational,Denominational,English,Kerry,Killorglin_Milltown,Mainstream,Bishop of Kerry,15,5,33%,30%,0,5,1,4,1,4,0%,100%,20%,80%,20%,80%,,,,,,,,,,,,,
16744O,Boheshill Mxd,Co educational,Denominational,English,Kerry,Killorglin_Milltown,Mainstream,Bishop of Kerry,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17161S,Kiltallagh N S,Co educational,Denominational,English,Kerry,Killorglin_Milltown,Mainstream,"Bishop of Limerick, Killaloe & Ardfert COI",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18414D,S N Gleann Beithe,Co educational,Denominational,English,Kerry,Killorglin_Milltown,Mainstream,Bishop of Kerry,43,18,42%,18%,1,17,7,11,6,12,6%,94%,39%,61%,33%,67%,,,,,,,,,,,,,
18756I,Fibough National School,Co educational,Denominational,English,Kerry,Killorglin_Milltown,Mainstream,Bishop of Kerry,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18832V,Castlemaine N S,Co educational,Denominational,English,Kerry,Killorglin_Milltown,Mainstream,Bishop of Kerry,83,34,41%,14%,1,33,14,20,8,26,3%,97%,41%,59%,24%,76%,,,,,,,,,,,,,
19547E,St Francis Special Sch,Co educational,Denominational,English,Kerry,Killorglin_Milltown,Special School,St John of God Hospitaller Order (Kerry Services),53,9,17%,24%,1,8,2,7,2,7,11%,89%,22%,78%,22%,78%,,,,,,,,,,,,,
20229U,Nagle Rice Primary School,Co educational,Denominational,English,Kerry,Killorglin_Milltown,Mainstream,Bishop of Kerry,228,98,43%,8%,1,97,35,63,15,83,1%,99%,36%,64%,15%,85%,34,1,33,12,22,5,29,3%,97%,35%,65%,15%,85%
04062S,Listowel Presentation Primary,Single sex,Denominational,English,Kerry,Listowel,Mainstream,Bishop of Kerry,151,49,33%,11%,23,26,19,30,3,46,47%,53%,39%,61%,6%,94%,,,,,,,,,,,,,
10775S,Scoil Chorp Chríost,Co educational,Denominational,English,Kerry,Listowel,Mainstream,Bishop of Kerry,46,16,35%,19%,0,16,6,10,3,13,0%,100%,38%,62%,19%,81%,,,,,,,,,,,,,
11067T,S N Naomh Brid,Co educational,Denominational,English,Kerry,Listowel,Mainstream,Bishop of Kerry,125,55,44%,11%,1,54,15,40,6,49,2%,98%,27%,73%,11%,89%,,,,,,,,,,,,,
12587E,Coolard Mxd N S,Co educational,Denominational,English,Kerry,Listowel,Mainstream,Bishop of Kerry,63,21,33%,17%,1,20,9,12,4,17,5%,95%,43%,57%,19%,81%,,,,,,,,,,,,,
13540G,Murhur N S,Co educational,Denominational,English,Kerry,Listowel,Mainstream,Bishop of Kerry,54,29,54%,15%,0,29,8,21,1,28,0%,100%,28%,72%,3%,97%,,,,,,,,,,,,,
14998M,Lyre a Crompane N S,Co educational,Multi denominational,English,Kerry,Listowel,Mainstream,Kerry ETB,21,10,48%,23%,0,10,9,1,0,10,0%,100%,90%,10%,0%,100%,,,,,,,,,,,,,
17072T,S N Cill Cruinn,Co educational,Denominational,English,Kerry,Listowel,Mainstream,Bishop of Kerry,60,19,32%,18%,0,19,9,10,1,18,0%,100%,47%,53%,5%,95%,,,,,,,,,,,,,
19548G,Nano Nagle N School,Co educational,Denominational,English,Kerry,Listowel,Special School,Bishop of Kerry,68,14,21%,20%,1,13,7,7,2,12,7%,93%,50%,50%,14%,86%,,,,,,,,,,,,,
19846O,Realt na Maidne,Single sex,Denominational,English,Kerry,Listowel,Mainstream,Bishop of Kerry,150,67,45%,10%,26,41,31,36,4,63,39%,61%,46%,54%,6%,94%,,,,,,,,,,,,,
19957A,Dromclough N S,Co educational,Denominational,English,Kerry,Listowel,Mainstream,Bishop of Kerry,127,77,61%,9%,1,76,28,49,11,66,1%,99%,36%,64%,14%,86%,,,,,,,,,,,,,
20013U,Gaelscoil Lios Tuathail,Co educational,Denominational,Irish,Kerry,Listowel,Mainstream,Bishop of Kerry,99,34,34%,14%,0,34,14,20,27,7,0%,100%,41%,59%,79%,21%,,,,,,,,,,,,,
17744T,S N Gniomh Go Leith B,Co educational,Denominational,English,Kerry,Rathmore,Mainstream,Bishop of Kerry,78,38,49%,13%,0,38,9,29,4,34,0%,100%,24%,76%,11%,89%,,,,,,,,,,,,,
17747C,S N na Srona,Co educational,Denominational,English,Kerry,Rathmore,Mainstream,Bishop of Kerry,17,8,47%,25%,0,8,2,6,1,7,0%,100%,25%,75%,12%,88%,,,,,,,,,,,,,
18039D,Na Minteoga N S,Co educational,Denominational,English,Kerry,Rathmore,Mainstream,Bishop of Kerry,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20111U,Holy Family National School,Co educational,Denominational,English,Kerry,Rathmore,Mainstream,Bishop of Kerry,154,43,28%,12%,0,43,10,33,6,37,0%,100%,23%,77%,14%,86%,,,,,,,,,,,,,
17349N,S N an Leana Mhoir,Co educational,Denominational,English,Kerry,Tarbert,Mainstream,Bishop of Kerry,14,11,79%,22%,0,11,4,7,1,10,0%,100%,36%,64%,9%,91%,,,,,,,,,,,,,
18705O,Tarbert National School,Co educational,Denominational,English,Kerry,Tarbert,Mainstream,Bishop of Kerry,61,25,41%,16%,1,24,10,15,4,21,4%,96%,40%,60%,16%,84%,,,,,,,,,,,,,
